Kanji	Significado	Leitura(s) ON	Leitura(s) KUN	Mnemônica	Nível JLPT
奏	Tocar música	ソウ	かな・でる	Oferecer (𡗗) ao céu (天) a melodia ao tocar música.	N1
幻	Ilusão, fantasma	ゲン	まぼろし	Um pequeno fio (幺) que se prende a um gancho (𠃌) formando uma ilusão.	N1
麗	Lindo, belo	レイ	うるわ・しい	A beleza de um par (丽) de cervos (鹿) é algo verdadeiramente lindo.	N1
逮	Prender, capturar	タイ	Não possui	Percorrer o caminho (辶) para prender o que está sob o seu poder (隶).	N1
誠	Sinceridade, verdade	セイ	まこと	Palavras (言) que se tornam (成) realidade através da sinceridade.	N1
炎	Chama, inflamação	エン	ほのお	Duas chamas de fogo (火) empilhadas formando uma grande chama.	N1
椅	Cadeira	イ	Não possui	Uma árvore (木) de formato estranho (奇) usada para sentar: a cadeira.	N1
寛	Indulgente, generoso	カン	Não possui	Sob o telhado (宀) e a grama (艹), ver (見) com olhos indulgentes.	N1
斉	Igual, alinhado	セイ	Não possui	A cultura ou sentença (文) que é alinhada (齐) de forma igual.	N1
穂	Espiga (de grãos)	スイ	ほ	O grão (禾) que carrega a bênção (恵) da colheita: a espiga.	N1
兼	Concomitantemente	ケン	か・ねる	Usar as mãos (丷, ⺕) para segurar duas coisas concomitantemente.	N1
飼	Criar (animais)	シ	か・う	Administrar (司) a comida (飠) necessária para criar os animais.	N1
促	Incitar, urgir	ソク	うなが・す	Uma pessoa (亻) que move o pé (足) para incitar o progresso.	N1
尚	Além disso, ainda mais	ショウ	なお	O brilho (⺌) que resta sobre o espaço (冂) da boca (口): ainda mais.	N1
彩	Coloração, colorir	サイ	いろど・る	Mãos (爫) que colocam ornamentos (彡) na madeira (木) para a coloração.	N1
暖	Quente, aquecer	ダン	あたた・かい, あたた・まる, あたた・める	O sol (日) que fornece auxílio (爰) para tornar o dia quente.	N1
俗	Vulgar, costumes mundanos	ゾク	Não possui	Uma pessoa (亻) que vive no vale (谷) seguindo os costumes vulgares.	N1
較	Comparação, comparar	カク	Não possui	Trocar (交) de carro (車) para realizar uma comparação.	N1
傍	Lado, ao lado de	ボウ	かたわ・ら	Uma pessoa (亻) posicionada ao lado (旁) de outra.	N1
肝	Fígado, essência	カン	きも	A parte do corpo (月) que ajuda a secar (干) as toxinas: o fígado.	N1
畑	Campo de cultivo, roça	Não possui	はた, はたけ	Usar o fogo (火) para limpar o campo (田) e criar uma roça.	N1
峰	Pico (de montanha)	ホウ	みね	No topo da montanha (山), o ponto onde se encontram (夆) as nuvens: o pico.	N1
抵	Resistir	テイ	Não possui	Usar a mão (扌) apoiada em uma base (氐) para resistir.	N1
恩	Favor, gratidão	オン	Não possui	A causa (因) que toca o coração (心) como um favor ou gratidão.	N1
誇	Gabar-se, orgulho	コ	ほこ・る	Usar palavras (言) grandes (大) e exageradas (丂) para se gabar.	N1
網	Rede	モウ	あみ	Fios (糸) em forma de rede (罒) para capturar o que estava perdido (亡).	N1
渋	Adstringente, hesitar	ジュウ	しぶ, しぶ・い, しぶ・る	Água (氵) que para (止) e se divide (丷, 八), tornando-se adstringente.	N1
魂	Alma, espírito	コン	たましい	O espírito (鬼) que flutua como uma nuvem (云) no céu: a alma.	N1
牧	Pasto, criar gado	ボク, モク	まき	A ação (攵) de guiar a vaca (牛) para o seu pasto.	N1
控	Conter, refrear	コウ	ひか・える	Usar a mão (扌) para lidar com o vazio (空) e se refrear.	N1
紛	Distrair, misturar	フン	まぎ・れる, まぎ・らす, まぎ・らわす, まぎ・らわしい	Fios (糸) que se dividem (分) e acabam por distrair ou misturar.	N1
戒	Admoestação, preceito	カイ	いまし・める	Segurar a lança (戈) com as mãos (廾) como um preceito de defesa.	N1
没	Afundar, morrer	ボツ, モツ	Não possui	A água (氵) e a ação (殳) de golpear que fazem algo afundar.	N1
既	Já, previamente	キ	すで・に	Tendo atingido o limite (艮) de algo que já aconteceu previamente (旡).	N1
股	Coxa, bifurcação	コ	また	A parte do corpo (月) usada para a ação (殳) de caminhar: a coxa.	N1
脅	Ameaçar	キョウ	おびや・かす, おど・す, おど・かす	Usar a força (力) contra o corpo (月) de alguém para o ameaçar.	N1
征	Subjugar	セイ	Não possui	Caminhar (彳) para tornar algo correto (正) ao subjugar o oponente.	N1
覆	Cobrir, virar	フク	おお・う, くつがえ・す, くつがえ・る	Usar uma cobertura (覀) ao retornar (復) para cobrir ou virar algo.	N1
郡	Condado, distrito	グン	Não possui	Uma vila ou muro (阝) governada por um mestre (君): o condado.	N1
丘	Colina	キュウ	おか	Um machado (斤) sobre a linha (一) da terra formando uma colina.	N1
佳	Excelente, belo	カ, カイ	Não possui	Uma pessoa (亻) que brilha como uma joia (圭) por ser excelente.	N1
叔	Tio, tia (mais novo)	シュク	Não possui	Alguém acima (上) de um pequeno (小) que usa a mão (又): o tio.	N1
託	Confiar	タク	Não possui	Palavras (言) que são colocadas em uma base (乇) ao se confiar.	N1
哀	Pesar, tristeza	アイ	あわ・れ, あわ・れむ	Uma boca (口) sob a roupa (衣) expressando um profundo pesar.	N1
肥	Adubo, engordar	ヒ	こ・える, こえ, こ・やす, こ・やし	A parte do corpo (月) que se enrola (巴) e cresce ao engordar.	N1
朗	Alegre, claro	ロウ	ほが・らか	O brilho bom (良) da lua (月) que torna a noite alegre.	N1
慎	Prudente, ser cuidadoso	シン	つつし・む	Ter a verdade (真) no coração (心) para ser prudente.	N1
悠	Calmo, tranquilo	ユウ	Não possui	Uma pessoa (亻) com o coração (心) que age (攵) de forma calma.	N1
眉	Sobrancelha	ビ, ミ	まゆ	A moldura (厂) que fica acima do olho (目): a sobrancelha.	N1
拒	Recusar	キョ	こば・む	Usar a mão (扌) contra algo gigante (巨) para o recusar.	N1
概	Esboço, geral	ガイ, カイ	Não possui	Madeira (木) que já (既) foi preparada para um esboço geral.	N1
顧	Olhar para trás, rever	コ	かえり・みる	Virar a cabeça (頁) para olhar para trás e ver quem se empregou (雇).	N1
腐	Apodrecer	フ	くさ・る, くさ・れる, くさ・らす	Carne (肉) esquecida no armazém da prefeitura (府) até apodrecer.	N1
挨	Aproximar-se	アイ	Não possui	Usar a mão (扌) de forma privada (厶) com uma flecha (矢) para se aproximar.	N1
孤	Órfão, solitário	コ	Não possui	Uma criança (子) sozinha com um melão (瓜) representando o órfão.	N1
拶	Aproximar (saudação)	サツ	Não possui	Usar a mão (扌) para saudar diante do fluxo de um rio (巛) à noite (夕).	N1
却	Rejeitar, ao invés	キャク	Não possui	Partir (去) sob a ordem de um oficial (卩) ao rejeitar algo.	N1
賊	Ladrão, rebelde	ゾク	Não possui	O dinheiro (貝) de dez (十) pessoas protegido por uma lança (戈) contra o ladrão.	N1
荘	Solene, vila (residência)	ソウ, ショウ	Não possui	A grama (艹) que cresce sobre algo robusto (壮) em uma vila solene.	N1
匠	Artesão	ショウ	Não possui	Um machado (斤) guardado dentro de uma caixa (匚) de artesão.	N1
悔	Arrependimento	カイ	く・いる, く・やむ, くや・しい	O coração (忄) que sofre a cada (每) vez com o arrependimento.	N1
獄	Prisão	ゴク	Não possui	Palavras (言) trocadas entre dois cachorros (犭, 犬) na prisão.	N1
滞	Estagnar, atrasar	タイ	とどこお・る	A água (氵) que fica presa pelo cinto (帯) ao se atrasar.	N1
遇	Encontrar, deparar-se	グウ	あ・う	Percorrer o caminho (辶) e encontrar um fantasma (禺) por acaso.	N1
淡	Pálido, leve	タン	あわ・い	A água (氵) que apaga a chama (炎) tornando-a pálida ou leve.	N1
購	Comprar	コウ	Não possui	O dinheiro (貝) investido em uma estrutura (冓) para se comprar algo.	N1
併	Juntar, unir	ヘイ	あわ・せる	Uma pessoa (亻) que se junta (并) a outra para se unir.	N1
崇	Reverência	スウ, シュ	あが・める	A montanha (山) onde se pratica a religião (宗) com reverência.	N1
唯	Apenas, somente	ユイ, イ	ただ	Uma boca (口) que emite apenas o som de um pássaro (隹).	N1
垂	Pendurar, pingar	スイ	た・れる, た・らす	O traço (丿) que faz a grama (艹) e a terra (土) pingar.	N1
岐	Ramificar, bifurcar	キ, ギ	Não possui	Uma montanha (山) com um galho (支) que se ramifica.	N1
俳	Haicai, ator	ハイ	Não possui	Uma pessoa (亻) que interpreta o que não (非) é real como um ator.	N1
斜	Diagonal	シャ	なな・め	O excesso (余) medido por uma concha (斗) na diagonal.	N1
嬢	Jovem mulher, filha	ジョウ	Não possui	Uma mulher (女) que é ajudada (襄) a se tornar a jovem da casa.	N1
陥	Cair em, armadilha	カン	おちい・る, おとしい・れる	O muro (阝) com um buraco (臽) que serve de armadilha para cair em.	N1
償	Reparar, indenizar	ショウ	つぐな・う	Uma pessoa (亻) que usa o seu prêmio (賞) para indenizar um dano.	N1
鑑	Modelo, avaliar	カン	かんが・みる	O metal (金) usado para supervisionar (監) e servir de modelo.	N1
勧	Recomendar, encorajar	カン	すす・める	Usar a força (力) de uma garça (雚) ao recomendar algo.	N1
葬	Funeral, enterrar	ソウ	ほうむ・る	Usar a grama (艹) e as mãos (廾) para o funeral da morte (死).	N1
焦	Queimar, impaciente	ショウ	こ・げる, こ・がす, こ・がれる, あせ・る	Um pássaro (隹) colocado sob o fogo (灬) ao queimar.	N1
剛	Forte, robusto	ゴウ	Não possui	Uma colina (岡) cortada por uma faca (刂) robusta.	N1
膨	Inchar, expandir	ボウ	ふく・らむ, ふく・れる	A parte do corpo (月) que incha com o som de ornamentos (彭).	N1
廷	Tribunal	テイ	Não possui	Caminhar (廴) para se apresentar ao oficial (壬) no tribunal.	N1
紫	Roxo	シ	むらさき	O fio (糸) deste (此) tom roxo.	N1
銘	Inscrição, marca	メイ, ミョウ	Não possui	O metal (金) que leva o nome (名) em sua inscrição.	N1
鎌	Foice	レン	かま	O metal (金) usado concomitantemente (兼) como uma foice.	N1
菌	Fungo, bactéria	キン	Não possui	A grama (艹) que nasce dentro de um celeiro (囷) como um fungo.	N1
稼	Trabalhar, ganhar	カ	かせ・ぐ	O grão (禾) que é trazido para casa (家) ao se ganhar o sustento.	N1
譲	Ceder, transferir	ジョウ	ゆず・る	Palavras (言) que envolvem (襄) o ato de ceder ou transferir.	N1
随	Seguir	ズイ	Não possui	O muro (阝) que desmorona (隋) ao se seguir adiante.	N1
猛	Feroz, selvagem	モウ	Não possui	Um animal (犭) feroz como o ímpeto do filho mais velho (孟).	N1
遂	Realizar, cumprir	スイ	と・げる	Percorrer o caminho (辶) sob a ordem (㒸) para realizar a tarefa.	N1
冒	Arriscar, desafiar	ボウ, ボク, モウ	おか・す	O olho (目) sob um chapéu (冃) ao arriscar ou desafiar.	N1
泰	Pacífico, grande	タイ	Não possui	Uma grande (大) massa de água (水) e mãos (廾) em estado pacífico.	N1
翼	Asa	ヨク	つばさ	Penas (羽) de um tipo diferente (異) formando a asa.	N1
凄	Incrível, terrível	セイ	Não possui	O gelo (冫) no coração de uma esposa (妻) terrível.	N1
序	Ordem, prefácio	ジョ	Não possui	Sob um abrigo (广), o que foi preparado previamente (予) em ordem.	N1
扉	Porta	ヒ	とびら	A porta (戸) de um lugar onde não (非) se deve entrar.	N1
是	Absolutamente certo	ゼ, シ	Não possui	O sol (日) e o pé (疋) que estão absolutamente certos.	N1
寸	Medida, dimensão	スン, ソン	Não possui	O traço (一), o gancho (亅) e o ponto (丶) que definem a medida.	N1
賃	Tarifa, salário	チン	Não possui	O dinheiro (貝) recebido pelo dever (任) cumprido como salário.	N1
偵	Espião, investigar	テイ	Não possui	Uma pessoa (亻) fiel (貞) que atua como espião.	N1
澄	Limpo, claro	チョウ	す・む, す・ます	A água (氵) que fica limpa e clara ao se subir (登) a montanha.	N1
殊	Especial, particularmente	シュ	こと	Uma morte (歹) tingida de vermelho (朱) é um evento especial e particular.	N1
緩	Frouxo, afrouxar	カン	ゆる・い, ゆる・やか, ゆる・む, ゆる・める	Um fio (糸) puxado (爰) fica frouxo, indicando a necessidade de afrouxar a tensão.	N1
頑	Teimoso, robusto	ガン	Não possui	Desde a origem (元), a cabeça (頁) dessa pessoa sempre foi teimosa e robusta.	N1
紋	Padrão, brasão	モン	Não possui	Fios (糸) bordados como um texto (文) formam o padrão de um brasão.	N1
糖	Açúcar	トウ	Não possui	O arroz (米) trazido da dinastia Tang (唐) era doce como o próprio açúcar.	N1
煮	Ferver, cozinhar	シャ, ショ	に・る, に・える, に・やす	A pessoa (者) próxima ao fogo (灬) começou a ferver e cozinhar a refeição.	N1
芳	Fragrante, excelente	ホウ	かんば・しい	Gramíneas (艹) espalhadas em todas as direções (方) exalam um aroma fragrante e excelente.	N1
惨	Miserável, cruel	サン, ザン	みじ・め	O coração (忄) de quem participa (参) de uma tragédia sente-se miserável e cruel.	N1
歓	Alegria, deleite	カン	Não possui	Sob o teto (𠂉), a boca (口) do pássaro (隹) abre-se num bocejo (欠) de pura alegria e deleite.	N1
虐	Tratamento cruel	ギャク	しいた・げる	O tigre (虍) com as suas garras (彐) expostas dá um tratamento cruel à presa.	N1
喉	Garganta	コウ	のど	A boca (口) do marquês (侯) protege a sua preciosa garganta.	N1
旨	Propósito, delicioso	シ	むね	A colher (匕) usada durante todo o dia (日) tem o claro propósito de comer algo delicioso.	N1
凝	Congelar, focar	ギョウ	こ・る, こ・らす	Tal como o gelo (冫), a dúvida (疑) faz a mente congelar e focar num só ponto.	N1
圏	Esfera, alcance	ケン	Não possui	A caixa (囗) que envolve o pergaminho (巻) serve para limitar a sua esfera de alcance.	N1
拭	Esfregar, limpar	ショク, シキ	ふ・く, ぬぐ・う	A mão (扌) a operar com o estilo (式) correto é a melhor ferramenta para esfregar e limpar.	N1
涯	Limites externos, horizonte	ガイ	Não possui	A água (氵) que bate na terra (土) do penhasco (厂) marca os limites externos do horizonte.	N1
貞	Casto, fiel	テイ, ジョウ	Não possui	A adivinhação (卜) utilizando conchas (貝) revela a quem pertence um coração casto e fiel.	N1
堅	Firme, duro	ケン	かた・い	O retentor (臣) apoia firmemente a mão (又) na terra (土) para se manter firme e duro.	N1
倫	Ética, moral	リン	Não possui	A pessoa (亻) que age conduzida pela lógica (侖) demonstra ter ética e moral.	N1
壇	Plataforma, altar	ダン, タン	Não possui	Usando terra (土) e uma intenção sincera (亶), ergue-se a plataforma do altar sagrado.	N1
呉	Dar, reino de Wu	ゴ, グ	くれ・る	Uma boca (口) grande (大) e curvada (𠃑) era muito usada para dar ordens no antigo reino de Wu.	N1
暇	Tempo livre	カ	ひま	Um dia (日) que é pego emprestado (叚) torna-se num muito aguardado tempo livre.	N1
貌	Aparência	ボウ	Não possui	O felino (豸) com estranhas pernas humanas (皃) possui uma aparência inconfundível.	N1
塞	Fechar, bloquear	サイ, ソク	ふさ・ぐ, ふさ・がる	Sob o telhado (宀), várias mãos (廾) empilham terra (土) no poço (井) para fechar e bloquear a passagem.	N1
噴	Erupção, jorrar	フン, ホン	ふ・く	A boca (口) expele plantas (卉) e conchas (貝) a jorrar como uma potente erupção.	N1
婆	Mulher idosa	バ	Não possui	A mulher (女) que enfrentou todas as ondas (波) da vida tornou-se uma mulher idosa.	N1
岳	Montanha, pico	ガク	たけ	Uma colina (丘) que se eleva acima da montanha (山) transforma-se no pico principal.	N1
蹴	Chutar	シュウ	け・る	É essencial usar o pé (足) na posição (就) adequada antes de conseguir chutar.	N1
鍵	Chave, fechadura	ケン	かぎ	O objeto de metal (金) muito bem construído (建) funciona perfeitamente como chave na fechadura.	N1
膳	Bandeja, mesa	ゼン	Não possui	A porção de carne (月) oferecida com bondade (善) é servida na bandeja da mesa.	N1
尺	Medida antiga, régua	シャク, セキ	Não possui	O próprio corpo (尸) marcado com um ponto (丶) funcionava outrora como medida antiga ou régua.	N1
罰	Punição	バツ, バチ, ハツ	Não possui	Cair na rede (罒) das próprias palavras (言) e enfrentar a espada (刂) é uma dura punição.	N1
漏	Vazar, escapar	ロウ	も・る, も・れる, も・らす	A água (氵) e a chuva (雨) começam lentamente a vazar e escapar por sobre o corpo (尸).	N1
朱	Vermelho	シュ	Não possui	O traço (丿) e o pequeno corte (一) na casca da árvore (木) expõem uma seiva de tom vermelho.	N1
覧	Ver, observar	ラン	Não possui	O retentor (臣) num ângulo inclinado (𠂉) direciona a rede (罒) de foco para ver e observar (見) tudo.	N1
